Время,Координата,Плотность,Сера
474.934,88.8889,0,0
474.934,111.111,0,0
474.934,133.333,0,0
474.934,155.556,0,0
474.934,177.778,0,0
474.934,200,0,0
483.254,0,0,0
483.254,22.2222,0,0
483.254,44.4444,0,0
483.254,66.6667,0,0
483.254,88.8889,0,0
483.254,111.111,0,0
483.254,133.333,0,0
483.254,155.556,0,0
483.254,177.778,0,0
483.254,200,0,0
491.574,0,0,0
491.574,22.2222,0,0
491.574,44.4444,0,0
491.574,66.6667,0,0
491.574,88.8889,0,0
491.574,111.111,0,0
491.574,133.333,0,0
491.574,155.556,0,0
491.574,177.778,0,0
491.574,200,0,0
499.894,0,0,0
499.894,22.2222,0,0
499.894,44.4444,0,0
499.894,66.6667,0,0
499.894,88.8889,0,0
499.894,111.111,0,0
499.894,133.333,0,0
499.894,155.556,0,0
499.894,177.778,0,0
499.894,200,0,0
508.214,0,0,0
508.214,22.2222,0,0
508.214,44.4444,0,0
508.214,66.6667,0,0
508.214,88.8889,0,0
508.214,111.111,0,0
508.214,133.333,0,0
508.214,155.556,0,0
508.214,177.778,0,0
508.214,200,0,0
516.534,0,0,0
516.534,22.2222,0,0
516.534,44.4444,0,0
516.534,66.6667,0,0
516.534,88.8889,0,0
516.534,111.111,0,0
516.534,133.333,0,0
516.534,155.556,0,0
516.534,177.778,0,0
516.534,200,0,0
524.854,0,0,0
524.854,22.2222,0,0
524.854,44.4444,0,0
524.854,66.6667,0,0
524.854,88.8889,0,0
524.854,111.111,0,0
524.854,133.333,0,0
524.854,155.556,0,0
524.854,177.778,0,0
524.854,200,0,0
533.174,0,0,0
533.174,22.2222,0,0
533.174,44.4444,0,0
533.174,66.6667,0,0
533.174,88.8889,0,0
533.174,111.111,0,0
533.174,133.333,0,0
533.174,155.556,0,0
533.174,177.778,0,0
533.174,200,0,0
541.494,0,0,0
541.494,22.2222,0,0
541.494,44.4444,0,0
541.494,66.6667,0,0
541.494,88.8889,0,0
541.494,111.111,0,0
541.494,133.333,0,0
541.494,155.556,0,0
541.494,177.778,0,0
541.494,200,0,0
549.814,0,0,0
549.814,22.2222,0,0
549.814,44.4444,0,0
549.814,66.6667,0,0
549.814,88.8889,0,0
549.814,111.111,0,0
549.814,133.333,0,0
549.814,155.556,0,0
549.814,177.778,0,0
549.814,200,0,0
558.134,0,0,0
558.134,22.2222,0,0
558.134,44.4444,0,0
558.134,66.6667,0,0
558.134,88.8889,0,0
558.134,111.111,0,0
558.134,133.333,0,0
558.134,155.556,0,0
558.134,177.778,0,0
558.134,200,0,0
566.454,0,0,0
566.454,22.2222,0,0
566.454,44.4444,0,0
566.454,66.6667,0,0
566.454,88.8889,0,0
566.454,111.111,0,0
566.454,133.333,0,0
566.454,155.556,0,0
566.454,177.778,0,0
566.454,200,0,0
574.774,0,0,0
574.774,22.2222,0,0
574.774,44.4444,0,0
574.774,66.6667,0,0
574.774,88.8889,0,0
574.774,111.111,0,0
574.774,133.333,0,0
574.774,155.556,0,0
574.774,177.778,0,0
574.774,200,0,0
583.094,0,0,0
583.094,22.2222,0,0
583.094,44.4444,0,0
583.094,66.6667,0,0
583.094,88.8889,0,0
583.094,111.111,0,0
583.094,133.333,0,0
583.094,155.556,0,0
583.094,177.778,0,0
583.094,200,0,0
591.414,0,0,0
591.414,22.2222,0,0
591.414,44.4444,0,0
591.414,66.6667,0,0
591.414,88.8889,0,0
591.414,111.111,0,0
591.414,133.333,0,0
591.414,155.556,0,0
591.414,177.778,0,0
591.414,200,0,0
599.734,0,0,0
599.734,22.2222,0,0
599.734,44.4444,0,0
599.734,66.6667,0,0
599.734,88.8889,0,0
599.734,111.111,0,0
599.734,133.333,0,0
599.734,155.556,0,0
599.734,177.778,0,0
599.734,200,0,0
608.054,0,0,0
608.054,22.2222,0,0
608.054,44.4444,0,0
608.054,66.6667,0,0
608.054,88.8889,0,0
608.054,111.111,0,0
608.054,133.333,0,0
608.054,155.556,0,0
608.054,177.778,0,0
608.054,200,0,0
616.374,0,0,0
616.374,22.2222,0,0
616.374,44.4444,0,0
616.374,66.6667,0,0
616.374,88.8889,0,0
616.374,111.111,0,0
616.374,133.333,0,0
616.374,155.556,0,0
616.374,177.778,0,0
616.374,200,0,0
624.694,0,0,0
624.694,22.2222,0,0
624.694,44.4444,0,0
624.694,66.6667,0,0
624.694,88.8889,0,0
624.694,111.111,0,0
624.694,133.333,0,0
624.694,155.556,0,0
624.694,177.778,0,0
624.694,200,0,0
633.014,0,0,0
633.014,22.2222,0,0
633.014,44.4444,0,0
633.014,66.6667,0,0
633.014,88.8889,0,0
633.014,111.111,0,0
633.014,133.333,0,0
633.014,155.556,0,0
633.014,177.778,0,0
633.014,200,0,0
641.334,0,0,0
641.334,22.2222,0,0
641.334,44.4444,0,0
641.334,66.6667,0,0
641.334,88.8889,0,0
641.334,111.111,0,0
641.334,133.333,0,0
641.334,155.556,0,0
641.334,177.778,0,0
641.334,200,0,0
649.654,0,0,0
649.654,22.2222,0,0
649.654,44.4444,0,0
649.654,66.6667,0,0
649.654,88.8889,0,0
649.654,111.111,0,0
649.654,133.333,0,0
649.654,155.556,0,0
649.654,177.778,0,0
649.654,200,0,0
657.974,0,0,0
657.974,22.2222,0,0
657.974,44.4444,0,0
657.974,66.6667,0,0
657.974,88.8889,0,0
657.974,111.111,0,0
657.974,133.333,0,0
657.974,155.556,0,0
657.974,177.778,0,0
657.974,200,0,0
666.294,0,0,0
666.294,22.2222,0,0
666.294,44.4444,0,0
666.294,66.6667,0,0
666.294,88.8889,0,0
666.294,111.111,0,0
666.294,133.333,0,0
666.294,155.556,0,0
666.294,177.778,0,0
666.294,200,0,0
674.614,0,0,0
674.614,22.2222,0,0
674.614,44.4444,0,0
674.614,66.6667,0,0
674.614,88.8889,0,0
674.614,111.111,0,0
674.614,133.333,0,0
674.614,155.556,0,0
674.614,177.778,0,0
674.614,200,0,0
682.934,0,0,0
682.934,22.2222,0,0
682.934,44.4444,0,0
682.934,66.6667,0,0
682.934,88.8889,0,0
682.934,111.111,0,0
682.934,133.333,0,0
682.934,155.556,0,0
682.934,177.778,0,0
682.934,200,0,0
691.254,0,0,0
691.254,22.2222,0,0
691.254,44.4444,0,0
691.254,66.6667,0,0
691.254,88.8889,0,0
691.254,111.111,0,0
691.254,133.333,0,0
691.254,155.556,0,0
691.254,177.778,0,0
691.254,200,0,0
699.574,0,0,0
699.574,22.2222,0,0
699.574,44.4444,0,0
699.574,66.6667,0,0
699.574,88.8889,0,0
699.574,111.111,0,0
699.574,133.333,0,0
699.574,155.556,0,0
699.574,177.778,0,0
699.574,200,0,0
